Query,Answer
"What is Lactose intolerance?","Lactose is a type of sugar found in milk and other dairy products. An enzyme called lactase is needed by the body to digest lactose.  Lactose intolerance develops when the small intestine does not make enough of this enzyme."
"What is Dementia?","Dementia is not a specific disease. It is a descriptive term for a collection of symptoms that can be caused by a number of disorders that affect the brain. People with dementia have significantly impaired intellectual functioning that interferes with normal activities and relationships. They also lose their ability to solve problems and maintain emotional control, and they may experience personality changes and behavioral problems, such as agitation, delusions, and hallucinations. While memory loss is a common symptom of dementia, memory loss by itself does not mean that a person has dementia. Doctors diagnose dementia only if two or more brain functions - such as memory and language skills -- are significantly impaired without loss of consciousness. Some of the diseases that can cause symptoms of dementia are Alzheimers disease, vascular dementia, Lewy body dementia, frontotemporal dementia, Huntingtons disease, and Creutzfeldt-Jakob disease. Doctors have identified other conditions that can cause dementia or dementia-like symptoms including reactions to medications, metabolic problems and endocrine abnormalities, nutritional deficiencies, infections, poisoning, brain tumors, anoxia or hypoxia (conditions in which the brains oxygen supply is either reduced or cut off entirely), and heart and lung problems. Although it is common in very elderly individuals, dementia is not a normal part of the aging process."
"What are Autoimmune Diseases?","Your body's immune system protects you from disease and infection. But if you have an autoimmune disease, your immune system attacks healthy cells in your body by mistake. Autoimmune diseases can affect many parts of the body.    No one is sure what causes autoimmune diseases. They do tend to run in families. Women - particularly African-American, Hispanic-American, and Native-American women - have a higher risk for some autoimmune diseases.    There are more than 80 types of autoimmune diseases, and some have similar symptoms. This makes it hard for your health care provider to know if you really have one of these diseases, and if so, which one. Getting a diagnosis can be frustrating and stressful. Often, the first symptoms are fatigue, muscle aches and a low fever. The classic sign of an autoimmune disease is inflammation, which can cause redness, heat, pain and swelling.    The diseases may also have flare-ups, when they get worse, and remissions, when symptoms get better or disappear. Treatment depends on the disease, but in most cases one important goal is to reduce inflammation. Sometimes doctors prescribe corticosteroids or other drugs that reduce your immune response."
"What causes High Blood Cholesterol?","Many things can affect the level of cholesterol in your blood. You can control some of these things but not others. What You Can Control You can control - what you eat  - your weight  - your activity level. what you eat your weight your activity level. Your Diet Certain foods have several types of fat that raise your cholesterol level. - Saturated fat increases your LDL cholesterol level more than anything else in your diet.  Saturated fat is found mostly in foods that come from animal sources such as egg yolks, meat, and milk products, including butter, cream and cheese. These foods also contain cholesterol. Saturated fat increases your LDL cholesterol level more than anything else in your diet.  Saturated fat is found mostly in foods that come from animal sources such as egg yolks, meat, and milk products, including butter, cream and cheese. These foods also contain cholesterol. -   Trans fatty acids, or trans fats, also raise your LDL cholesterol level.  These mostly come from vegetable oil that has gone through a process called hydrogenation to make it hard. Examples of foods containing trans fats include many convenience foods such as doughnuts, French fries, cookies, cakes and pastries.  Trans fatty acids, or trans fats, also raise your LDL cholesterol level.  These mostly come from vegetable oil that has gone through a process called hydrogenation to make it hard. Examples of foods containing trans fats include many convenience foods such as doughnuts, French fries, cookies, cakes and pastries. Your Weight Being overweight tends to - increase your LDL level  - lower your HDL level  - increase your total cholesterol level. increase your LDL level lower your HDL level increase your total cholesterol level. Your Activity Level If you don't exercise regularly, you may gain weight. This could increase your LDL cholesterol level. Regular exercise can help you lose weight and lower your LDL level. It can also help you increase your HDL level. What You Cannot Control You cannot control some things that can affect the level of cholesterol in your blood, including - your heredity  - your age  - your sex. your heredity your age your sex. High blood cholesterol can run in families. For most people, their cholesterol level is the result of an interaction between their genes and their lifestyles. As we get older, our cholesterol levels rise. - Before menopause, women tend to have lower total cholesterol levels than men of the same age.  - After menopause, women's LDL (bad) cholesterol levels tend to increase. Before menopause, women tend to have lower total cholesterol levels than men of the same age. After menopause, women's LDL (bad) cholesterol levels tend to increase."
"What causes High Blood Pressure?","Changes in Body Functions Researchers continue to study how various changes in normal body functions cause high blood pressure. The key functions affected in high blood pressure include -  kidney fluid and salt balances  -  the renin-angiotensin-aldosterone system   - the sympathetic nervous system activity   - blood vessel structure and function. kidney fluid and salt balances the renin-angiotensin-aldosterone system the sympathetic nervous system activity blood vessel structure and function. Kidney Fluid and Salt Balances The kidneys normally regulate the bodys salt balance by retaining sodium and water and eliminating potassium. Imbalances in this kidney function can expand blood volumes, which can cause high blood pressure. Renin-Angiotensin-Aldosterone System The renin-angiotensin-aldosterone system makes angiotensin and aldosterone hormones. Angiotensin narrows or constricts blood vessels, which can lead to an increase in blood pressure. Aldosterone controls how the kidneys balance fluid and salt levels. Increased aldosterone levels or activity may change this kidney function, leading to increased blood volumes and high blood pressure. Sympathetic Nervous System Activity The sympathetic nervous system has important functions in blood pressure regulation, including heart rate, blood pressure, and breathing rate. Researchers are investigating whether imbalances in this system cause high blood pressure. Blood Vessel Structure and Function Changes in the structure and function of small and large arteries may contribute to high blood pressure. The angiotensin pathway and the immune system may stiffen small and large arteries, which can affect blood pressure. Genetic Causes High blood pressure often runs in families. Years of research have identified many genes and other mutations associated with high blood pressure. However, known genetic factors only account for 2 to 3 percent of all cases. Emerging research suggests that certain DNA changes before birth also may cause the development of high blood pressure later in life. Unhealthy Lifestyle Habits Unhealthy lifestyle habits can cause high blood pressure, including - high sodium intake and sodium sensitivity  - drinking too much alcohol  - lack of physical activity. high sodium intake and sodium sensitivity drinking too much alcohol lack of physical activity. Overweight and Obesity Research studies show that being overweight or obese can increase the resistance in the blood vessels, causing the heart to work harder and leading to high blood pressure. Medicines Prescription medicines such as asthma or hormone therapies (including birth control pills and estrogen) and over-the-counter medicines such as cold relief medicines may cause high blood pressure. This happens because medicines can - change the way your body controls fluid and salt balances  - cause your blood vessels to constrict  -  impact the renin-angiotensin-aldosterone system, leading to high blood pressure.  change the way your body controls fluid and salt balances cause your blood vessels to constrict impact the renin-angiotensin-aldosterone system, leading to high blood pressure. Other Causes Other causes of high blood pressure include medical conditions such as chronic kidney disease, sleep apnea, thyroid problems, or certain tumors. These conditions can change the way your body controls fluids, sodium, and hormones in your blood, which leads to secondary high blood pressure."
"What is Attention Deficit-Hyperactivity Disorder?","Attention deficit-hyperactivity disorder (ADHD) is a neurobehavioral disorder that affects 3-5 percent of all American children. It interferes with a person's ability to stay on a task and to exercise age-appropriate inhibition (cognitive alone or both cognitive and behavioral). Some of the warning signs of ADHD include failure to listen to instructions, inability to organize oneself and school work, fidgeting with hands and feet, talking too much, leaving projects, chores and homework unfinished, and having trouble paying attention to and responding to details. There are several types of ADHD: a predominantly inattentive subtype, a predominantly hyperactive-impulsive subtype, and a combined subtype. ADHD is usually diagnosed in childhood, although the condition can continue into the adult years."
"What research (or clinical trials) is being done for Cushing's Syndrome?","NINDS supports research on Cushing's syndrome aimed at finding new ways to diagnose, treat, and cure the disorder."
"What is Morning sickness?","Morning sickness often begins 4 to 6 weeks after conception and may continue until the 4th month of pregnancy. Some women have morning sickness during their entire pregnancy. This happens most often for women who are carrying more than 1 baby.  It is called morning sickness because the symptoms are more likely to occur early in the day, but they can occur at any time. For some women, morning sickness lasts all day.  The exact cause of morning sickness is not known.  - Most experts think changes in the woman's hormone levels during pregnancy cause it.  - Other factors that can make the nausea worse include a pregnant woman's enhanced sense of smell and gastric reflux.    Morning sickness that is not severe does not hurt your baby in any way. In fact:  - It may even be a sign that all is well with you and your baby.  - Morning sickness may be associated with a lower risk of miscarriage.  - Your symptoms probably show that the placenta is making all the right hormones for your growing baby.   When nausea and vomiting are severe, a condition known as hyperemesis gravidarum may be diagnosed."
"What are Sleep Disorders?","Is it hard for you to fall asleep or stay asleep through the night? Do you wake up feeling tired or feel very sleepy during the day, even if you have had enough sleep? You might have a sleep disorder. The most common kinds are       - Insomnia - a hard time falling or staying asleep    - Sleep apnea - breathing interruptions during sleep    -  Restless legs syndrome - a tingling or prickly sensation in the legs     - Narcolepsy - daytime ""sleep attacks""       Nightmares, night terrors, sleepwalking, sleep talking, head banging, wetting the bed and grinding your teeth are kinds of sleep problems called parasomnias. There are treatments for most sleep disorders. Sometimes just having regular sleep habits can help."
"What is Asthma?","Asthma is a disease that causes the airways of the lungs to swell and narrow. It leads to wheezing, shortness of breath, chest tightness, and coughing."
